0.589239	0 1 2 3 4 5 6 7 8 9 
0.634116	0 1 2 3 4 5 6 8 7 9 
0.68626	0 1 2 3 4 6 5 7 8 9 
0.731138	0 1 2 3 4 6 5 8 7 9 
0.837553	0 1 2 4 3 5 6 7 8 9 
0.85164	0 1 2 3 4 6 7 5 8 9 
0.866926	0 1 2 3 4 7 5 6 8 9 
0.894594	0 1 2 3 4 6 7 5 9 8 
0.9014	0 1 2 3 4 5 9 6 7 8 
0.909171	0 1 2 3 5 4 7 6 8 9 
0.931363	0 1 2 3 4 5 7 9 8 6 
0.94165	0 1 2 4 3 5 6 9 7 8 
0.942564	0 1 2 4 3 6 5 7 8 9 
0.95698	0 1 2 3 5 4 7 6 9 8 
0.998571	0 1 2 3 4 7 5 8 6 9 
1.02092	0 1 2 3 5 4 8 6 7 9 
1.03486	0 1 2 3 4 6 7 8 5 9 
1.03893	0 1 2 4 3 5 8 6 7 9 
1.04375	0 1 2 3 4 6 8 5 9 7 
1.04559	0 1 2 3 4 5 9 7 8 6 
1.05898	0 1 2 3 4 5 9 8 6 7 
1.07059	0 1 2 4 3 5 7 8 6 9 
1.09759	0 1 2 3 4 6 9 5 7 8 
1.1122	0 1 2 4 3 5 8 6 9 7 
1.1241	0 1 2 4 3 5 8 7 6 9 
1.12598	0 1 3 2 4 5 7 6 9 8 
1.12746	0 1 3 2 4 6 5 7 8 9 
1.1304	0 1 2 3 5 4 7 9 6 8 
1.14527	0 1 2 3 4 8 5 6 9 7 
1.14626	0 1 2 3 4 8 5 7 6 9 
1.21989	0 1 2 3 5 6 4 8 7 9 
1.23919	0 1 2 3 5 6 4 7 9 8 
1.26341	0 1 2 3 5 4 9 7 6 8 
1.26838	0 1 2 3 4 7 8 5 6 9 
1.26956	0 1 2 4 3 5 8 7 9 6 
1.27571	0 1 2 3 5 4 8 9 6 7 
1.27984	0 1 3 2 4 5 8 7 6 9 
1.28186	0 1 2 3 4 6 7 9 8 5 
1.2828	0 1 3 2 4 7 5 6 8 9 
1.28417	0 1 2 4 3 5 8 9 6 7 
1.28639	0 1 2 3 4 9 5 6 8 7 
1.28698	0 1 3 2 4 6 5 8 9 7 
1.2894	0 1 2 3 6 5 4 7 8 9 
1.29302	0 1 2 3 4 6 8 9 5 7 
1.29539	0 1 2 3 6 4 5 9 8 7 
1.29682	0 1 2 4 3 7 6 5 8 9 
1.29732	0 1 2 3 4 6 8 7 9 5 
1.30087	0 1 2 3 4 8 5 7 9 6 
1.30221	0 1 2 3 4 9 5 7 6 8 
1.30339	0 1 2 4 5 3 6 7 8 9 
1.30679	0 1 2 3 4 8 6 7 5 9 
1.30774	0 1 3 2 4 6 7 5 8 9 
1.30814	0 1 3 2 4 5 7 9 6 8 
1.30896	0 1 3 2 4 6 5 9 7 8 
1.3141	0 1 3 2 5 4 6 7 8 9 
1.31785	0 1 2 3 6 4 7 5 9 8 
1.31839	0 2 1 3 4 5 6 8 7 9 
1.31933	0 1 3 2 4 7 5 6 9 8 
1.32121	0 1 3 2 4 5 8 6 9 7 
1.3236	0 1 2 3 5 4 8 9 7 6 
1.32383	0 1 2 4 3 5 9 8 6 7 
1.32426	0 2 1 3 4 5 6 7 9 8 
1.32824	0 1 2 4 3 6 8 5 9 7 
1.3283	0 1 2 4 5 3 6 7 9 8 
1.32896	0 1 2 3 4 8 5 9 6 7 
1.33002	0 1 2 4 3 7 6 5 9 8 
1.33104	0 2 1 3 4 5 7 6 8 9 
1.33223	0 1 2 3 4 9 6 5 7 8 
1.33455	0 1 2 4 3 5 9 7 8 6 
1.33531	0 1 2 4 3 7 5 8 6 9 
1.33613	0 1 2 3 4 7 8 6 5 9 
1.3384	0 1 2 3 5 7 4 6 8 9 
1.33936	0 1 2 3 5 4 9 7 8 6 
1.34315	0 1 2 3 4 6 9 8 5 7 
1.34326	0 1 2 4 3 6 7 8 5 9 
1.3463	0 1 2 3 5 6 4 8 9 7 
1.34735	0 1 2 4 3 6 9 5 7 8 
1.3482	0 1 2 3 5 4 9 8 6 7 
1.35102	0 1 2 3 6 5 4 8 7 9 
1.35137	0 1 3 2 4 6 7 5 9 8 
1.35304	0 1 2 3 7 4 5 6 8 9 
1.35532	0 1 2 3 4 8 7 5 6 9 
1.35567	0 1 3 2 4 5 7 8 9 6 
1.35635	0 1 2 4 3 5 8 9 7 6 
1.35845	0 1 3 2 5 4 6 8 7 9 
1.36045	0 1 2 3 6 4 8 5 7 9 
1.36136	0 1 3 2 4 6 5 9 8 7 
1.36525	0 1 2 4 5 3 6 8 7 9 
1.37056	0 1 2 3 4 7 6 8 9 5 
1.37424	0 1 2 4 3 8 5 6 7 9 
1.37565	0 1 2 3 4 7 9 5 6 8 
1.38149	0 1 2 3 6 5 4 7 9 8 
1.3843	0 1 2 4 3 7 5 9 6 8 
1.38525	0 1 2 3 4 9 6 5 8 7 
1.38732	0 1 2 3 5 6 4 9 7 8 
1.38756	0 1 2 3 5 4 9 8 7 6 
1.38968	0 1 3 2 4 7 6 5 8 9 
1.39229	0 2 1 3 4 5 7 6 9 8 
1.39424	0 1 2 4 3 5 9 8 7 6 
1.39582	0 1 3 2 5 4 6 7 9 8 
1.39677	0 1 2 4 3 6 8 7 5 9 
1.39748	0 1 2 4 3 6 9 5 8 7 
1.3978	0 1 2 3 4 8 5 9 7 6 
1.3999	0 1 2 3 5 7 4 6 9 8 
1.40184	0 2 1 3 4 6 5 7 8 9 
1.40216	0 1 2 3 4 6 9 7 8 5 
1.40585	0 1 2 3 7 4 5 6 9 8 
1.40825	0 1 2 3 4 6 8 9 7 5 
1.40938	0 1 2 5 3 4 6 7 8 9 
1.41007	0 1 3 2 5 4 7 6 8 9 
1.41394	0 1 3 2 4 5 7 9 8 6 
1.4161	0 1 2 4 5 3 7 6 8 9 
1.41724	0 1 2 3 4 9 5 7 8 6 
1.41923	0 1 3 2 4 7 5 8 6 9 
1.42011	0 1 2 3 4 7 6 9 8 5 
1.42154	0 1 2 4 3 6 7 9 5 8 
1.42284	0 1 2 3 4 9 5 8 6 7 
1.42307	0 1 2 3 4 8 7 6 5 9 
1.42436	0 1 2 4 5 3 6 9 7 8 
1.42535	0 1 3 2 4 7 6 5 9 8 
1.4278	0 2 1 3 4 5 6 8 9 7 
1.42889	0 1 2 3 4 7 8 5 9 6 
1.43281	0 1 2 3 5 6 4 9 8 7 
1.43476	0 1 3 2 4 5 9 6 7 8 
1.43924	0 1 2 4 5 3 7 6 9 8 
1.44306	0 1 2 4 5 3 6 8 9 7 
