26.2618	0 1 2 3 4 5 6 7 8 9 
26.6292	0 1 2 3 4 5 6 7 9 8 
26.7636	0 1 2 3 4 5 7 6 8 9 
26.927	0 1 2 3 4 6 5 7 8 9 
27.0006	0 1 2 3 4 5 6 8 7 9 
27.1262	0 1 2 3 4 5 7 6 9 8 
27.2269	0 1 2 3 4 6 5 7 9 8 
27.6715	0 1 2 3 4 6 5 8 7 9 
27.7848	0 1 2 3 4 5 6 9 7 8 
27.8188	0 1 2 3 4 6 7 5 8 9 
27.9732	0 1 2 3 4 7 5 6 8 9 
28.0098	0 1 2 3 4 5 7 8 6 9 
28.012	0 1 2 3 4 5 6 8 9 7 
28.0421	0 1 2 3 4 6 7 5 9 8 
28.233	0 1 2 3 4 7 5 6 9 8 
28.2724	0 1 2 3 4 5 8 6 7 9 
28.3632	0 1 2 3 4 7 6 5 8 9 
28.3767	0 1 2 3 4 6 5 9 7 8 
28.4289	0 1 2 3 4 5 6 9 8 7 
28.5078	0 1 2 4 3 5 6 7 8 9 
28.5513	0 1 2 3 4 7 6 5 9 8 
28.6492	0 1 2 3 4 6 5 8 9 7 
28.7769	0 1 2 3 4 5 7 9 6 8 
28.7798	0 1 2 3 4 5 8 7 6 9 
28.8482	0 1 2 4 3 5 6 7 9 8 
29.0014	0 1 2 3 5 4 6 7 8 9 
29.0545	0 1 2 3 4 6 5 9 8 7 
29.0881	0 1 2 4 3 5 7 6 8 9 
29.1695	0 1 2 4 3 5 6 8 7 9 
29.173	0 1 2 4 3 6 5 7 8 9 
29.1734	0 1 2 3 4 5 8 6 9 7 
29.2349	0 1 2 3 4 7 5 8 6 9 
29.3268	0 1 2 3 5 4 6 7 9 8 
29.3415	0 1 2 3 4 6 8 5 7 9 
29.3904	0 1 2 3 5 4 7 6 8 9 
29.3924	0 1 2 4 3 5 7 6 9 8 
29.4459	0 1 2 4 3 6 5 7 9 8 
29.4975	0 1 2 3 4 6 7 8 5 9 
29.5095	0 1 2 3 4 5 7 8 9 6 
29.5111	0 1 2 3 4 5 9 6 7 8 
29.6449	0 1 2 3 5 4 6 8 7 9 
29.7484	0 1 2 3 5 4 7 6 9 8 
29.8393	0 1 2 3 4 7 5 9 6 8 
29.8404	0 1 2 4 3 6 5 8 7 9 
29.9043	0 1 2 3 4 6 7 9 5 8 
29.9141	0 1 2 3 4 5 7 9 8 6 
29.9473	0 1 2 4 3 5 6 9 7 8 
30.0062	0 1 2 3 4 5 9 7 6 8 
30.0325	0 1 2 4 3 5 6 8 9 7 
30.0495	0 1 2 3 4 5 9 6 8 7 
30.0516	0 1 2 3 4 7 6 8 5 9 
30.1432	0 1 2 4 3 6 7 5 8 9 
30.1728	0 1 2 3 4 6 8 5 9 7 
30.1738	0 1 2 3 4 5 8 7 9 6 
30.2328	0 1 2 3 4 8 5 6 7 9 
30.2483	0 1 2 3 6 4 5 7 8 9 
30.2757	0 1 2 3 4 6 8 7 5 9 
30.3082	0 1 2 4 3 6 7 5 9 8 
30.3245	0 1 2 3 5 4 6 9 7 8 
30.3312	0 1 2 4 3 7 5 6 8 9 
30.3315	0 1 2 4 3 5 7 8 6 9 
30.3748	0 1 2 3 4 7 6 9 5 8 
30.3954	0 1 2 4 3 5 8 6 7 9 
30.4017	0 1 2 3 6 4 5 7 9 8 
30.4131	0 1 2 3 4 6 9 5 7 8 
30.4273	0 1 2 3 5 4 7 8 6 9 
30.4699	0 1 2 4 3 5 6 9 8 7 
30.5305	0 1 2 3 4 5 8 9 6 7 
30.5359	0 1 2 4 3 7 5 6 9 8 
30.5392	0 1 2 4 3 6 5 9 7 8 
30.5743	0 1 2 3 5 4 6 8 9 7 
30.631	0 1 2 3 4 8 6 5 7 9 
30.6421	0 1 2 3 4 7 5 8 9 6 
30.6696	0 1 2 4 3 6 5 8 9 7 
30.7212	0 1 2 4 3 7 6 5 8 9 
30.75	0 1 2 3 4 8 5 7 6 9 
30.8248	0 1 2 3 5 4 8 6 7 9 
30.8541	0 1 2 4 3 7 6 5 9 8 
30.8628	0 1 3 2 4 5 6 7 8 9 
30.8751	0 1 2 3 6 4 7 5 8 9 
30.9186	0 1 2 3 4 8 5 6 9 7 
30.9284	0 1 2 3 5 4 6 9 8 7 
30.9331	0 1 2 3 4 7 8 5 6 9 
30.9569	0 1 2 3 6 4 5 8 7 9 
30.9699	0 1 2 4 3 5 7 9 6 8 
30.9772	0 1 2 4 3 5 8 7 6 9 
30.9868	0 1 2 3 4 7 5 9 8 6 
30.9898	0 1 2 3 4 5 9 8 6 7 
31.0207	0 1 2 3 6 4 7 5 9 8 
31.021	0 1 2 3 4 6 9 5 8 7 
31.0235	0 1 2 3 4 5 8 9 7 6 
31.0328	0 1 2 3 4 5 9 7 8 6 
31.0815	0 1 3 2 4 5 6 7 9 8 
31.0851	0 1 2 4 3 5 8 6 9 7 
31.0955	0 1 2 4 3 6 5 9 8 7 
31.1255	0 1 2 3 4 6 9 7 5 8 
31.1905	0 1 2 3 4 6 7 8 9 5 
31.2182	0 1 2 3 5 4 8 7 6 9 
31.2277	0 1 2 3 5 4 7 9 6 8 
31.2676	0 1 3 2 4 5 7 6 8 9 
31.2809	0 1 2 3 4 8 6 5 9 7 
31.3033	0 1 3 2 4 6 5 7 8 9 
31.3343	0 1 2 3 6 4 5 9 7 8 
31.3462	0 1 3 2 4 5 6 8 7 9 
31.3599	0 1 2 3 4 7 8 6 5 9 
31.374	0 1 2 3 4 6 7 9 8 5 
31.4645	0 1 2 4 3 6 8 5 7 9 
31.478	0 1 2 3 4 5 9 8 7 6 
31.5222	0 1 3 2 4 5 7 6 9 8 
31.5472	0 1 2 4 3 5 9 6 7 8 
31.5807	0 1 2 3 4 8 6 7 5 9 
31.5902	0 1 2 4 3 7 5 8 6 9 
31.5919	0 1 2 4 3 5 7 8 9 6 
31.5925	0 1 3 2 4 6 5 7 9 8 
31.6188	0 1 2 3 5 6 4 7 8 9 
31.6781	0 1 2 3 4 8 7 5 6 9 
31.686	0 1 2 3 4 7 6 8 9 5 
31.7079	0 1 2 3 7 4 5 6 8 9 
31.7284	0 1 3 2 4 5 6 9 7 8 
31.7383	0 1 3 2 4 6 5 8 7 9 
31.7618	0 1 2 3 4 7 9 5 6 8 
31.8002	0 1 2 3 6 4 5 8 9 7 
31.8086	0 1 2 3 5 4 8 6 9 7 
31.818	0 1 2 3 5 4 7 8 9 6 
31.8192	0 1 2 4 3 6 7 8 5 9 
31.8211	0 1 2 3 4 7 6 9 8 5 
31.8381	0 1 2 3 5 6 4 7 9 8 
31.8462	0 1 2 3 4 6 8 9 5 7 
31.8632	0 1 2 3 7 4 5 6 9 8 
31.8989	0 1 2 3 4 6 8 7 9 5 
31.9053	0 1 2 3 4 8 5 7 9 6 
31.9261	0 1 2 4 3 5 7 9 8 6 
31.9326	0 1 2 4 3 5 9 6 8 7 
31.9421	0 1 2 3 5 4 9 6 7 8 
31.9457	0 1 2 3 7 4 6 5 8 9 
31.9791	0 1 2 3 4 7 9 6 5 8 
